Question;Answer
What is the primary function of the NASDAQ?;It is a global electronic marketplace for buying and selling securities.
What year was the Dow Jones Industrial Average first calculated?;1896
What is the main purpose of the World Bank?;To provide financial and technical assistance to developing countries for development programs.
What is the largest stock exchange by market capitalization as of 2023?;New York Stock Exchange
Who is the CEO of Berkshire Hathaway as of 2023?;Warren Buffett
What is the main focus of microfinance?;To provide small loans to people who do not have access to traditional banking services.
What is an IPO in the context of business?;An Initial Public Offering, the first sale of stock by a company to the public.
What does ESG stand for in finance?;Environmental, Social, and Governance
What company had the largest IPO ever as of 2023?;Saudi Aramco
What financial metric measures a company's ability to generate profit from its operations?;Operating Margin
What is meant by 'bear market'?;A market condition in which the prices of securities are falling, and widespread pessimism causes the negative sentiment to be self-sustaining.
What is the primary purpose of the Securities and Exchange Commission (SEC)?;To protect investors, maintain fair, orderly, and efficient markets, and facilitate capital formation.
Which company became the first to reach a market capitalization of $3 trillion?;Apple Inc.
What is a hedge fund?;A limited partnership of investors that uses high risk methods, such as investing with borrowed money, in hopes of realizing large capital gains.
What is a credit default swap?;A financial derivative that allows an investor to "swap" or offset their credit risk with that of another investor.
